ID_Transacao,Data,Valor,ID_Cliente,Anomalia,Ano,Mes,Dia,Hora,prediction
37330,2023-10-17T06:12:15.869Z,190.56304467271286,6676,false,2023,10,17,6,1
63392,2024-03-05T06:43:21.158Z,247.90079659288483,2720,false,2024,3,5,6,0
37157,2023-11-11T13:46:55.753Z,32.236689187426556,4025,false,2023,11,11,13,1
40311,2023-05-07T10:44:48.801Z,27.792859815951488,1483,false,2023,5,7,10,1
62504,2024-08-20T03:09:45.539Z,46.55169851166009,3233,false,2024,8,20,3,0
60336,2023-09-18T06:11:35.814Z,443.5638278850127,3825,false,2023,9,18,6,1
54972,2023-04-02T11:36:03.576Z,204.5061284534984,4241,false,2023,4,2,11,1
93720,2024-02-26T01:52:10.186Z,225.70761975234586,4621,false,2024,2,26,1,0
20550,2024-10-25T11:15:41.648Z,277.6677118447009,7791,false,2024,10,25,11,0
94794,2023-07-11T04:16:23.305Z,344.3484072510676,7144,false,2023,7,11,4,1
50605,2023-09-21T12:00:53.239Z,165.95282576899066,6446,false,2023,9,21,12,1
72986,2024-09-14T08:25:40.128Z,440.41028632811106,7350,false,2024,9,14,8,0
27165,2023-03-21T06:26:16.520Z,157.28757734763195,7020,false,2023,3,21,6,1
22144,2023-07-25T08:42:56.913Z,472.3756610888748,3176,false,2023,7,25,8,1
93115,2023-04-02T00:25:45.654Z,67.69078469889651,7027,false,2023,4,2,0,1
13919,2024-08-09T04:54:49.814Z,491.5410702838003,4188,false,2024,8,9,4,0
61720,2024-02-02T06:10:47.526Z,10.441921088322303,4479,false,2024,2,2,6,0
95977,2023-06-11T11:11:53.558Z,39.73800350935175,1497,false,2023,6,11,11,1
21127,2024-12-15T12:21:39.518Z,283.89257490974734,6131,false,2024,12,15,12,0
40731,2023-10-09T02:21:52.810Z,52.260364918545385,2475,false,2023,10,9,2,1
40624,2024-02-25T09:18:29.032Z,198.51607751770342,6259,false,2024,2,25,9,0
92773,2024-10-14T03:50:57.493Z,77.5327980528433,1721,false,2024,10,14,3,0
41980,2024-07-08T21:29:43.112Z,150.23630056010848,2883,false,2024,7,8,21,0
10830,2024-01-25T23:25:00.666Z,404.29652370002344,3076,false,2024,1,25,23,0
22199,2024-11-05T04:19:47.139Z,137.3278246868318,9705,false,2024,11,5,4,0
74533,2023-10-11T12:50:59.445Z,268.9135470667125,8118,false,2023,10,11,12,1
92526,2024-01-01T05:29:46.036Z,460.70389536369856,2553,false,2024,1,1,5,0
36465,2023-06-21T05:08:19.350Z,163.360043643077,5236,false,2023,6,21,5,1
42414,2024-07-13T20:09:46.721Z,59.292685977930105,5807,false,2024,7,13,20,0
73411,2024-07-20T07:53:35.535Z,320.03595782299567,4389,false,2024,7,20,7,0
96482,2024-07-16T12:15:34.000Z,144.95007239302316,9356,false,2024,7,16,12,0
